,diposting_oleh,sedang_pembangunan,disetujui_pemerintah,total_ruangan,tipe_a_atau_b,kaki_persegi,siap_pindah,dijual_kembali,longitude,latitude,harga,harga_per_kaki_persegi,harga_per_ruang
0,Owner,0,0,2,tipe_a,1300.236407,1,1,12.96991,77.59796,55.0,0.04229999998761763,27.5
1,Dealer,0,0,2,tipe_a,1275.0,1,1,12.274538,76.644605,51.0,0.04,25.5
2,Owner,0,0,2,tipe_a,933.1597222,1,1,12.778033,77.632191,43.0,0.04608000000109735,21.5
3,Owner,0,1,2,tipe_a,929.9211427,1,1,28.6423,77.3445,62.5,0.06720999999906767,31.25
4,Dealer,1,0,2,tipe_a,999.009247,0,1,22.5922,88.484911,60.5,0.06056000000168167,30.25
5,Owner,0,0,3,tipe_a,1250.0,1,1,10.03328,76.28257099999999,42.0,0.0336,14.0
6,Dealer,0,0,3,tipe_a,1495.053957,1,1,26.916347,75.7956,66.5,0.044479999995077096,22.166666666666668
7,Owner,0,1,3,tipe_a,1181.012946,1,1,30.74,76.65,52.0,0.04402999998951747,17.333333333333332
8,Dealer,0,1,2,tipe_a,1040.0,1,1,13.054202,77.674002,41.6,0.04,20.8
9,Owner,0,1,2,tipe_a,879.1208791000001,1,1,12.95161,80.14097,36.0,0.040950000000972556,18.0
10,Owner,0,0,3,tipe_a,1350.308642,1,1,26.724219,88.326357,35.0,0.025919999999526034,11.666666666666666
11,Dealer,0,0,2,tipe_a,1333.010179,1,1,13.04034,77.591347,110.0,0.08252000002169525,55.0
12,Owner,0,0,2,tipe_a,927.1779023,1,1,12.96991,77.59796,48.0,0.05176999999776634,24.0
13,Owner,0,1,2,tipe_a,1122.1719460000002,1,1,28.587711,77.403123,62.0,0.055249999985296366,31.0
14,Owner,0,0,1,tipe_a,649.9837504,1,1,13.0352,77.5772,20.0,0.030770000000295394,20.0
15,Dealer,1,1,3,tipe_a,1394.117647,0,1,28.429614,77.481711,71.1,0.05100000000215189,23.7
16,Owner,0,0,3,tipe_a,1800.08471,1,1,20.275267000000003,85.86240699999999,85.0,0.04721999999655572,28.333333333333332
17,Dealer,1,1,3,tipe_a,2124.896706,0,1,12.8855,77.5638,180.0,0.08471000001634903,60.0
18,Owner,0,0,2,tipe_a,1100.0,1,1,21.15389,79.08306,22.0,0.02,11.0
19,Dealer,0,1,3,tipe_a,2178.649237,1,1,13.092356,77.61346800000001,120.0,0.05508000001195236,40.0
20,Owner,0,0,2,tipe_a,881.1435285,1,1,13.05,80.11,45.0,0.05106999999943823,22.5
21,Dealer,0,0,2,tipe_a,944.8818898,1,1,18.452663,73.93104,42.0,0.04444999999829609,21.0
22,Dealer,0,1,3,tipe_a,1310.147689,1,1,28.5041,77.381557,55.0,0.041980000012044445,18.333333333333332
24,Dealer,0,0,2,tipe_a,1219.80971,1,1,21.105779,79.078497,50.0,0.04098999998942458,25.0
25,Owner,0,0,2,tipe_a,780.141844,1,1,22.54111,88.33778000000001,27.5,0.03524999999871818,13.75
26,Owner,0,0,3,tipe_a,1600.0,1,1,28.63601,77.433724,46.0,0.02875,15.333333333333334
27,Dealer,0,0,2,tipe_a,1180.412371,1,1,30.712867,76.648557,22.9,0.01940000000220262,11.45
28,Owner,1,0,2,tipe_a,1000.0,0,1,24.48,86.7,39.0,0.039,19.5
29,Dealer,0,0,2,tipe_a,1000.0,1,1,28.2102,76.8606,12.5,0.0125,6.25
30,Dealer,0,0,3,tipe_a,1400.107701,1,1,28.40473,77.367514,52.0,0.03713999998918655,17.333333333333332
31,Dealer,0,1,2,tipe_a,943.1266076,1,1,28.5041,77.381557,33.0,0.03499000000008058,16.5
32,Owner,0,0,2,tipe_a,1150.146382,1,1,26.586306,74.873234,55.0,0.047820000011094245,27.5
35,Owner,0,0,3,tipe_a,1174.210077,1,1,12.852171,80.216826,55.0,0.04683999999431107,18.333333333333332
36,Dealer,1,1,2,tipe_a,1020.087884,0,1,18.5993,73.7625,65.0,0.0637200000308993,32.5
37,Owner,0,0,4,tipe_a,1650.165017,1,1,22.312063,72.674296,65.0,0.03938999998810422,16.25
38,Dealer,1,0,2,tipe_a,1000.0,0,1,17.815234,83.35818,35.0,0.035,17.5
39,Owner,0,0,3,tipe_a,1300.052002,1,1,12.894088,77.548914,75.0,0.05769000000355371,25.0
41,Dealer,0,1,2,tipe_a,1058.114928,1,1,18.539812,73.737678,65.0,0.06142999997444512,32.5
42,Dealer,1,0,1,tipe_a,400.0,0,1,18.5438,73.9438,30.0,0.075,30.0
45,Owner,0,0,2,tipe_a,1150.121065,1,1,20.366670000000003,72.9,38.0,0.03304000001078147,19.0
46,Owner,0,0,3,tipe_a,1200.0,1,1,28.460928000000003,77.03939100000001,60.0,0.05,20.0
47,Dealer,0,0,1,tipe_b,475.0103263,1,1,24.69028,78.41889,46.0,0.09684000000233259,46.0
48,Builder,1,1,1,tipe_a,301.91711630000003,0,0,24.69028,78.41889,26.3,0.08710999999704223,26.3
49,Dealer,1,1,2,tipe_a,1228.571429,0,1,12.843852,74.845271,51.6,0.04199999998534883,25.8
50,Owner,0,0,2,tipe_a,986.0164934,1,1,13.077175,80.151453,55.0,0.05577999999812174,27.5
51,Dealer,1,1,3,tipe_a,1972.565158,0,1,28.431862,77.351104,71.9,0.03644999999538672,23.96666666666667
53,Owner,0,0,3,tipe_a,1275.009808,1,1,25.232239,71.392013,32.5,0.025489999995356897,10.833333333333334
54,Dealer,1,1,1,tipe_a,406.024219,0,0,19.245347,73.124577,39.9,0.0982699999972169,39.9
55,Dealer,0,0,3,tipe_a,1862.562189,1,1,28.431862,77.351104,59.9,0.03216000000094493,19.966666666666665
56,Owner,0,0,2,tipe_a,950.0146156,1,1,19.88879,75.34344,65.0,0.0684200000006821,32.5
58,Dealer,0,0,2,tipe_a,1049.969344,1,1,12.985039,77.54383,68.5,0.06523999999756183,34.25
59,Dealer,0,0,3,tipe_a,1615.008157,1,1,22.589694,88.372957,99.0,0.06129999998507748,33.0
61,Owner,0,0,2,tipe_a,1100.0,1,1,26.955346,75.73479300000001,27.5,0.025,13.75
62,Dealer,1,1,2,tipe_a,906.2661833,0,0,24.69028,78.41889,70.0,0.07724000000210535,35.0
63,Owner,0,0,3,tipe_a,1454.333915,1,1,10.77,76.38,50.0,0.03438000000158148,16.666666666666668
64,Owner,0,0,3,tipe_a,1591.994542,1,1,28.506454,77.40956800000001,70.0,0.0439699999926256,23.333333333333332
65,Dealer,0,1,2,tipe_a,573.8769151,1,1,28.406388,77.342588,22.1,0.03850999999912699,11.05
67,Owner,0,0,3,tipe_a,1538.141758,1,1,13.11389,77.59833,74.0,0.048110000014706056,24.666666666666668
69,Dealer,0,0,3,tipe_a,1602.084012,1,1,28.368269,77.37273,49.2,0.03070999999468193,16.400000000000002
70,Owner,0,0,2,tipe_a,1200.0,1,1,16.51667,80.61667,45.0,0.0375,22.5
71,Owner,0,0,2,tipe_a,760.0709400000001,1,1,15.86667,74.5,60.0,0.07893999999526359,30.0
72,Owner,1,0,2,tipe_a,739.8273736000001,0,1,23.25,77.41667,30.0,0.040550000000702864,15.0
73,Owner,0,0,2,tipe_a,1260.02291,1,1,13.0915,74.7844,33.0,0.026189999989762094,16.5
74,Owner,0,0,2,tipe_a,1100.151745,1,1,21.093676,79.111965,29.0,0.02636000000163614,14.5
76,Dealer,0,0,2,tipe_a,1146.480331,1,1,19.216097,72.821721,88.6,0.07728000001772381,44.3
78,Dealer,0,0,2,tipe_a,759.8784195000001,1,1,22.452032,88.298947,30.0,0.03947999999755224,15.0
83,Owner,0,1,2,tipe_a,1150.086256,1,1,28.577673,77.389781,60.0,0.052170000021285357,30.0
84,Dealer,0,1,2,tipe_a,1004.932182,1,1,18.966114,73.148278,81.5,0.08110000003960466,40.75
85,Owner,0,0,2,tipe_a,800.0,1,1,22.56972,88.36972,34.0,0.0425,17.0
86,Dealer,1,0,3,tipe_a,993.75,0,1,26.706157,88.439748,31.8,0.032,10.6
87,Dealer,0,0,2,tipe_a,1298.139334,1,1,23.169982,77.477889,30.0,0.023109999993267287,15.0
88,Dealer,0,1,2,tipe_a,996.797438,1,1,26.900926,75.775927,24.9,0.024979999998756015,12.45
89,Owner,0,0,2,tipe_a,985.0194952,1,1,12.98556,77.66389000000001,48.0,0.04872999999888733,24.0
90,Dealer,0,0,3,tipe_a,1118.75,1,1,12.91716,80.19287,53.7,0.048,17.900000000000002
91,Dealer,0,1,2,tipe_a,889.8305085000001,1,1,28.506454,77.40956800000001,42.0,0.047199999998651425,21.0
95,Dealer,0,0,3,tipe_a,1200.082764,1,1,23.207157,88.404471,58.0,0.04833000001323242,19.333333333333332
96,Dealer,0,0,2,tipe_a,1584.283904,1,1,26.459137,79.506922,100.0,0.06311999998707303,50.0
97,Owner,0,0,2,tipe_a,900.0,1,1,23.2257,72.51679,18.0,0.02,9.0
98,Dealer,0,1,2,tipe_a,1193.440032,1,1,18.441256,74.647361,60.4,0.05060999998364392,30.2
99,Owner,0,0,2,tipe_a,1487.357462,1,1,26.8626,75.7633,30.0,0.020169999994258274,15.0
100,Owner,1,1,2,tipe_a,989.9029895,0,1,28.5035,77.426447,50.0,0.05051000000035862,25.0
102,Owner,0,0,2,tipe_a,949.893137,1,1,11.93,79.83,80.0,0.08422000000195812,40.0
103,Owner,0,0,2,tipe_a,875.0,1,1,28.560719,77.386208,49.0,0.056,24.5
104,Dealer,0,0,2,tipe_a,853.3611982000001,1,1,12.96991,77.59796,24.5,0.028709999999622666,12.25
105,Owner,0,0,1,tipe_a,483.0917874,1,1,18.4543,73.1147,18.0,0.03726000000305532,18.0
106,Dealer,0,0,2,tipe_a,800.0,1,1,19.18,72.96333,95.0,0.11875,47.5
107,Owner,0,0,2,tipe_a,802.0415602999999,1,1,28.66667,77.41667,22.0,0.027430000001210663,11.0
108,Dealer,0,1,2,tipe_a,610.0660905,1,1,13.069866,80.19842299999999,48.0,0.07867999999911485,24.0
109,Owner,0,0,3,tipe_a,1680.107527,1,1,28.861993,78.756315,75.0,0.044639999996857346,25.0
110,Owner,0,0,2,tipe_a,1150.136038,1,1,19.980678,79.297436,93.0,0.08085999997158597,46.5
111,Owner,0,0,3,tipe_a,1550.114497,1,1,28.576117,77.382136,88.0,0.05677000000342555,29.333333333333332
112,Owner,0,0,5,tipe_a,1699.834163,1,1,28.6711,77.3683,82.0,0.04823999998639868,16.4
113,Owner,1,0,3,tipe_a,1600.170685,0,1,9.952439,76.36329649999999,75.0,0.04686999999628164,25.0
114,Owner,0,0,1,tipe_a,600.0566091,1,1,18.75,73.08,21.2,0.035330000000828254,21.2
115,Dealer,0,1,2,tipe_a,1429.200617,1,1,30.661104,76.746082,64.9,0.04540999998742654,32.45
116,Owner,0,0,2,tipe_a,1115.1379980000002,1,1,13.008071,77.65129499999999,80.0,0.07174000002105568,40.0
118,Owner,0,0,3,tipe_a,1811.196487,1,1,23.35556,85.33471999999999,99.0,0.054660000011362654,33.0
119,Owner,0,0,2,tipe_a,1045.036079,1,1,22.43917,88.39583,42.0,0.04018999998563686,21.0
121,Owner,0,0,3,tipe_a,1298.219585,1,1,12.840956,77.659441,70.0,0.05391999998212937,23.333333333333332
122,Owner,1,1,2,tipe_a,1109.165207,0,1,13.278237,74.747328,38.0,0.03426000000737492,19.0
124,Dealer,0,1,2,tipe_a,1041.195111,1,1,28.59632,77.38143000000001,46.0,0.04417999999617747,23.0
125,Dealer,0,0,3,tipe_a,2135.748916,1,1,28.394375,77.35722700000001,83.7,0.039189999991553315,27.900000000000002
126,Owner,0,1,3,tipe_a,1850.180505,1,1,28.579004,77.431173,82.0,0.044320000009944974,27.333333333333332
127,Dealer,0,0,3,tipe_a,1665.080875,1,1,23.166495,72.63429000000001,70.0,0.042040000009008566,23.333333333333332
128,Owner,0,1,2,tipe_a,398.2621289,1,1,26.707154,80.98234599999999,11.0,0.02761999999945262,5.5
129,Owner,0,0,2,tipe_a,1005.025126,1,1,12.80009,77.71181999999999,48.0,0.0477599999823288,24.0
132,Dealer,0,1,3,tipe_a,1536.806516,1,1,28.6423,77.3445,100.0,0.0650700000025247,33.333333333333336
133,Owner,0,0,2,tipe_a,1123.188406,1,1,12.9816,77.6729,62.0,0.055199999990028385,31.0
134,Dealer,0,0,2,tipe_a,800.1939864,1,1,26.955346,75.73479300000001,16.5,0.02062000000053987,8.25
136,Dealer,0,0,3,tipe_a,1513.775356,1,1,12.905368,77.580403,100.0,0.06605999998853197,33.333333333333336
137,Owner,0,0,3,tipe_a,1280.0,1,1,9.930471,76.271273,48.0,0.0375,16.0
138,Owner,0,0,1,tipe_a,410.0678733,1,1,28.568846,77.324966,14.5,0.035360000000273124,14.5
140,Dealer,0,0,2,tipe_a,890.0451868999999,1,1,28.582887,77.339935,65.0,0.07303000000077862,32.5
141,Owner,0,0,2,tipe_a,977.7082519,1,1,22.1764,75.8193,25.0,0.025569999998892305,12.5
142,Dealer,0,0,2,tipe_a,1099.855282,1,1,12.977126,77.577724,38.0,0.034550000006273555,19.0
143,Owner,1,0,2,tipe_a,1050.241272,0,1,26.29564,73.03943000000001,37.0,0.03522999998804084,18.5
144,Dealer,0,1,3,tipe_a,1400.241838,1,1,26.900926,75.775927,57.9,0.04134999999907159,19.3
145,Dealer,0,0,3,tipe_a,1740.139211,1,1,19.048979,73.078232,180.0,0.10344000000813729,60.0
147,Dealer,0,0,2,tipe_a,650.1950585,1,1,11.026678,76.903583,20.0,0.030760000000830522,10.0
148,Owner,0,0,2,tipe_a,1355.01355,1,1,26.878068,75.77985600000001,85.0,0.062730000006273,42.5
149,Dealer,0,0,3,tipe_a,1800.0720030000002,1,1,12.96991,77.59796,150.0,0.08332999999445022,50.0
150,Dealer,0,1,2,tipe_a,907.6305221,1,1,21.56128,74.21238000000001,33.9,0.037349999999520725,16.95
151,Dealer,0,0,3,tipe_a,1636.296021,1,1,13.141581,77.749756,88.0,0.05377999999426754,29.333333333333332
152,Owner,0,0,2,tipe_a,900.2520706,1,1,22.261354,73.215533,25.0,0.027769999999375728,12.5
153,Owner,0,0,2,tipe_a,1318.0440230000002,1,1,12.905538,77.694263,100.0,0.07586999998102491,50.0
154,Dealer,0,1,3,tipe_a,1949.586451,1,1,30.684523,76.691728,99.0,0.05078000000934557,33.0
155,Dealer,0,0,3,tipe_a,1643.36522,1,1,9.930471,76.271273,67.0,0.04076999998819496,22.333333333333332
157,Dealer,0,0,1,tipe_a,655.0802139,1,1,18.964489,73.019574,49.0,0.07480000000042743,49.0
158,Owner,0,0,2,tipe_a,1180.173092,1,1,12.96991,77.59796,75.0,0.06355000000288093,37.5
159,Owner,0,0,3,tipe_a,1200.087279,1,1,28.6711,77.3683,55.0,0.04583000000285812,18.333333333333332
162,Owner,0,0,2,tipe_a,850.0991782,1,1,26.928785,75.828002,30.0,0.03529000000155511,15.0
164,Owner,0,0,2,tipe_a,900.0163639,1,1,12.928575,77.58572099999999,55.0,0.06111000000230107,27.5
166,Dealer,0,0,2,tipe_a,904.0656205,1,1,20.098413,79.10786,50.7,0.05608000000261043,25.35
168,Dealer,1,1,3,tipe_a,1570.306924,0,1,26.16667,75.78333,110.0,0.07004999998331536,36.666666666666664
170,Dealer,0,0,2,tipe_a,1000.0,1,1,28.593566,77.362752,60.0,0.06,30.0
172,Owner,0,0,2,tipe_a,1150.130348,1,1,13.1101,80.2095,75.0,0.06521000000601672,37.5
173,Dealer,0,0,2,tipe_a,1210.136674,1,1,19.0168,73.09646,85.0,0.07024000001507268,42.5
176,Dealer,0,0,2,tipe_a,1050.144395,1,1,22.271214,73.188827,40.0,0.03808999999471501,20.0
177,Owner,0,0,1,tipe_a,476.0204688999999,1,1,13.020957,80.152774,40.0,0.08402999999649806,40.0
178,Dealer,0,0,2,tipe_a,985.452839,1,1,28.538774,77.366515,21.0,0.021310000000923434,10.5
179,Dealer,0,0,2,tipe_a,1045.296167,1,1,28.368269,77.37273,24.0,0.022960000005433866,12.0
180,Dealer,1,1,2,tipe_a,1301.89498,0,1,12.86,77.786,90.0,0.06913000002504043,45.0
181,Owner,0,0,2,tipe_a,2000.0,1,1,28.2102,76.8606,38.0,0.019,19.0
183,Dealer,0,0,2,tipe_a,1192.0,1,1,20.286571,85.810906,59.6,0.05,29.8
184,Dealer,1,0,3,tipe_a,1846.153846,0,0,22.5922,88.484911,120.0,0.06500000000541667,40.0
186,Owner,0,0,2,tipe_a,750.0604887000001,1,1,28.66667,77.41667,31.0,0.04133000000270511,15.5
187,Dealer,0,0,2,tipe_a,1060.0706710000002,1,1,19.040066,73.115347,72.0,0.06792000002422478,36.0
188,Dealer,0,1,3,tipe_a,1415.09434,1,1,12.8458,77.6727,79.5,0.056179999985018665,26.5
189,Dealer,0,0,2,tipe_a,1160.062565,1,1,18.96,72.82,89.0,0.0767200000113787,44.5
191,Owner,1,0,3,tipe_a,1672.762741,0,1,28.495803,77.42684799999999,68.6,0.04100999999497239,22.866666666666664
192,Owner,0,0,2,tipe_a,1315.265046,1,1,20.606469,72.913465,33.0,0.025089999996852345,16.5
193,Dealer,0,0,1,tipe_a,650.026001,1,1,19.245347,73.124577,50.0,0.07692000000473828,50.0
194,Owner,0,0,1,tipe_a,540.1755571,1,1,19.585537,72.83686800000001,16.0,0.02961999999758967,16.0
195,Dealer,0,0,3,tipe_a,1830.065359,1,1,20.098413,79.10786,98.0,0.05355000001396125,32.666666666666664
196,Dealer,0,0,3,tipe_a,1575.157516,1,1,28.66667,77.41667,70.0,0.044439999992991176,23.333333333333332
197,Dealer,0,0,3,tipe_a,1530.0,1,1,12.904179,77.665897,76.5,0.05,25.5
198,Owner,0,0,2,tipe_a,619.6377502,1,1,12.758604,77.700377,26.0,0.04196000000259506,13.0
199,Owner,0,0,4,tipe_a,2200.0,1,1,21.17,72.83,110.0,0.05,27.5
200,Dealer,0,0,3,tipe_a,1757.188498,1,1,40.67197199,-86.15292909,77.0,0.043820000010038766,25.666666666666668
202,Owner,0,0,2,tipe_a,1199.862873,1,1,12.880993,77.557654,70.0,0.0583399999909823,35.0
203,Owner,0,0,2,tipe_a,1265.035255,1,1,13.033421,77.603954,61.0,0.048220000003082915,30.5
204,Dealer,0,0,2,tipe_a,676.0453302,1,1,22.301625,88.242147,17.3,0.025590000000269213,8.65
205,Owner,0,0,2,tipe_a,800.0,1,1,28.678014,77.38296,42.0,0.0525,21.0
206,Owner,0,0,2,tipe_a,750.0750075,1,1,22.486821,88.233267,25.0,0.03333000000003333,12.5
208,Dealer,0,0,3,tipe_a,1814.285714,1,1,20.257483,85.780142,88.9,0.04900000000771654,29.633333333333336
209,Dealer,0,1,3,tipe_a,1195.652174,1,1,24.69028,78.41889,110.0,0.09199999999330909,36.666666666666664
210,Dealer,0,0,3,tipe_a,1395.032324,1,1,26.900926,75.775927,41.0,0.029389999998308283,13.666666666666666
211,Owner,0,0,2,tipe_a,850.1594049,1,1,19.696531,72.767746,24.0,0.028229999999615365,12.0
212,Dealer,0,0,2,tipe_a,909.4339623,1,1,12.957707,80.18367099999999,48.2,0.052999999997910795,24.1
213,Owner,1,0,2,tipe_a,910.0937672,0,1,25.248438,83.014116,33.0,0.03626000000145919,16.5
215,Dealer,0,1,3,tipe_a,2069.857697,1,1,28.546788,77.37849399999999,160.0,0.07730000001058045,53.333333333333336
217,Dealer,0,0,2,tipe_a,1241.8075199999998,1,1,23.182972,72.611485,36.0,0.02898999999613467,18.0
218,Dealer,0,1,3,tipe_a,1014.120668,1,0,18.5438,73.9438,79.0,0.07789999996331798,26.333333333333332
220,Dealer,0,0,2,tipe_a,900.0782677000001,1,1,24.69028,78.41889,69.0,0.07665999999790907,34.5
221,Builder,1,0,2,tipe_a,898.5074627,0,0,26.154874,91.670312,30.1,0.03349999999949917,15.05
223,Dealer,0,0,3,tipe_a,1350.0,1,1,28.5679,77.3679,81.0,0.06,27.0
224,Dealer,0,1,2,tipe_a,1100.110011,1,1,18.485487,73.80377299999999,70.0,0.06363000000006364,35.0
225,Dealer,0,1,1,tipe_a,612.1199755,1,1,12.8356,80.1682,30.0,0.04901000000121708,30.0
226,Owner,0,0,2,tipe_a,1100.352113,1,1,20.892133,77.741664,25.0,0.022719999993311233,12.5
228,Dealer,0,0,3,tipe_a,1475.2567689999998,1,1,28.506454,77.40956800000001,79.0,0.05355000001359086,26.333333333333332
230,Builder,1,0,1,tipe_a,300.0260892,0,0,24.69028,78.41889,11.5,0.03833000000321305,11.5
231,Owner,0,0,2,tipe_a,1000.0,1,1,17.7,83.25,50.0,0.05,25.0
233,Dealer,1,1,2,tipe_a,995.8314034,0,0,22.311323,73.121275,21.5,0.021590000000596486,10.75
234,Dealer,0,0,3,tipe_a,1646.706587,1,0,28.406794,76.936447,110.0,0.06679999999295565,36.666666666666664
236,Owner,0,0,3,tipe_a,534.061239,1,1,28.34532,77.299035,45.0,0.08426000000348274,15.0
237,Dealer,1,1,2,tipe_a,1100.0,0,1,19.218498,72.992114,110.0,0.1,55.0
238,Dealer,0,0,3,tipe_a,1968.888889,1,1,26.16667,91.76667,88.6,0.044999999997460495,29.53333333333333
239,Dealer,0,1,3,tipe_a,2196.354052,1,1,28.536585,77.383669,100.0,0.04553000000566393,33.333333333333336
241,Dealer,0,0,2,tipe_a,1650.252861,1,1,18.49667,73.94167,62.0,0.03757000000741099,31.0
242,Dealer,1,1,2,tipe_a,632.0572844999999,0,0,19.402549,72.85441800000001,45.9,0.07261999999938297,22.95
243,Owner,0,0,2,tipe_a,1034.965035,1,1,26.882832,81.033767,37.0,0.035749999998792234,18.5
244,Dealer,0,0,2,tipe_a,965.0439631,1,1,18.96,72.82,90.0,0.09326000000134087,45.0
245,Builder,1,1,2,tipe_a,600.5495224,0,0,24.69028,78.41889,45.9,0.07643000000494214,22.95
246,Dealer,0,0,2,tipe_a,984.8484848,1,1,19.255098,72.9815265,130.0,0.13200000000649845,65.0
248,Dealer,0,1,1,tipe_a,546.0145603999999,1,0,19.18,72.96333,58.5,0.10713999999769971,58.5
249,Dealer,0,0,2,tipe_a,1195.499297,1,1,22.55,72.9,17.0,0.014219999997206188,8.5
251,Dealer,0,1,3,tipe_a,1699.716714,1,1,28.629811,77.434197,48.0,0.0282399999980232,16.0
252,Dealer,0,0,2,tipe_a,1075.027996,1,1,28.602325,77.40199399999999,48.0,0.044649999980093544,24.0
253,Dealer,1,1,1,tipe_a,485.790072,0,0,19.222101,72.988231,64.1,0.1319499999991766,64.1
254,Owner,0,0,2,tipe_a,929.8998569,1,1,12.919423,77.522774,52.0,0.05592000000231422,26.0
257,Dealer,0,1,2,tipe_a,1020.181859,1,1,13.055985,77.622157,46.0,0.045089999978131345,23.0
258,Owner,0,0,2,tipe_a,1070.135002,1,1,28.6423,77.3445,65.0,0.06073999997992777,32.5
260,Owner,0,0,3,tipe_a,1767.388826,1,1,17.546483,78.480303,77.5,0.043849999988627285,25.833333333333332
261,Builder,1,1,1,tipe_a,524.0,0,0,18.6182,73.7447,26.2,0.049999999999999996,26.2
262,Dealer,1,1,2,tipe_a,923.7875289,0,1,28.359199,76.836683,120.0,0.12989999999555094,60.0
263,Dealer,0,0,3,tipe_a,1657.275439,1,1,12.9223,77.5532,100.0,0.060340000006480515,33.333333333333336
