,diposting_oleh,sedang_pembangunan,disetujui_pemerintah,total_ruangan,tipe_a_atau_b,kaki_persegi,siap_pindah,dijual_kembali,alamat,longitude,latitude,harga,harga_per_kaki_persegi,harga_per_ruang
0,Owner,0,0,2,tipe_b,1300.236407,1,1,"Ksfc Layout,Bangalore",77.59796,12.96991,55.0,0.04229999998761763,27.5
1,Dealer,0,0,2,tipe_b,1275.0,1,1,"Vishweshwara Nagar,Mysore",76.644605,12.274538,51.0,0.04,25.5
2,Owner,0,0,2,tipe_b,933.1597222,1,1,"Jigani,Bangalore",77.632191,12.778033,43.0,0.04608000000109735,21.5
3,Owner,0,1,2,tipe_b,929.9211427,1,1,"Sector-1 Vaishali,Ghaziabad",77.3445,28.6423,62.5,0.06720999999906767,31.25
4,Dealer,1,0,2,tipe_b,999.009247,0,1,"New Town,Kolkata",88.484911,22.5922,60.5,0.06056000000168167,30.25
5,Owner,0,0,3,tipe_a,1250.0,1,1,"South Chittoor,Kochi",76.28257099999999,10.03328,42.0,0.0336,14.0
6,Dealer,0,0,3,tipe_a,1495.053957,1,1,"Sodala,Jaipur",75.7956,26.916347,66.5,0.044479999995077096,22.166666666666668
7,Owner,0,1,3,tipe_a,1181.012946,1,1,"Kharar,Mohali",76.65,30.74,52.0,0.04402999998951747,17.333333333333332
8,Dealer,0,1,2,tipe_b,1040.0,1,1,"Bileshivale,Bangalore",77.674002,13.054202,41.6,0.04,20.8
9,Owner,0,1,2,tipe_b,879.1208791000001,1,1,"Chromepet,Chennai",80.14097,12.95161,36.0,0.040950000000972556,18.0
10,Owner,0,0,3,tipe_a,1350.308642,1,1,"Deshbandhu Para,Siliguri",88.326357,26.724219,35.0,0.025919999999526034,11.666666666666666
11,Dealer,0,0,2,tipe_b,1333.010179,1,1,"Hebbal,Bangalore",77.591347,13.04034,110.0,0.08252000002169525,55.0
12,Owner,0,0,2,tipe_b,927.1779023,1,1,"Garebhavipalya,Bangalore",77.59796,12.96991,48.0,0.05176999999776634,24.0
13,Owner,0,1,2,tipe_b,1122.1719460000002,1,1,"Sector-119 Noida,Noida",77.403123,28.587711,62.0,0.055249999985296366,31.0
14,Owner,0,0,1,selain tipe_a dan tipe_b,649.9837504,1,1,"sanjay nagar,Raigad",77.5772,13.0352,20.0,0.030770000000295394,20.0
15,Dealer,1,1,3,tipe_a,1394.117647,0,1,"Sector-150 Noida,Noida",77.481711,28.429614,71.1,0.05100000000215189,23.7
16,Owner,0,0,3,tipe_a,1800.08471,1,1,"Jharapada,Bhubaneswar",85.86240699999999,20.275267000000003,85.0,0.04721999999655572,28.333333333333332
17,Dealer,1,1,3,tipe_a,2124.896706,0,1,"Konanakunte,Bangalore",77.5638,12.8855,180.0,0.08471000001634903,60.0
18,Owner,0,0,2,tipe_b,1100.0,1,1,"Nagpur Road,Wardha",79.08306,21.15389,22.0,0.02,11.0
19,Dealer,0,1,3,tipe_a,2178.649237,1,1,"Kogilu,Bangalore",77.61346800000001,13.092356,120.0,0.05508000001195236,40.0
